rank	lemma	pos	count	pct	cum_pct
231	сэтгэл	NOUN	21	0.0021	51.5631
232	хайр	NOUN	20	0.002	51.5651
233	мэдрэмж	NOUN	19	0.0019	51.567
234	учрах	VERB	18	0.0018	51.5688
235	болзох	VERB	17	0.0017	51.5705
236	үнсэх	VERB	16	0.0016	51.5721
237	тэвэрэх	VERB	15	0.0015	51.5736
238	санах	VERB	14	0.0014	51.575
239	хүлээх	VERB	13	0.0013	51.5763
240	мартах	VERB	12	0.0012	51.5775
241	итгэх	VERB	11	0.0011	51.5786
242	онцгой	ADJF	10	0.001	51.5796
243	жаргалтай	ADJF	9	0.0009	51.5805
244	ганцаардал	NOUN	8	0.0008	51.5813
245	дурлал	NOUN	7	0.0007	51.582
246	амжилт	NOUN	6	0.0006	51.5826
247	мөрөөдөл	NOUN	5	0.0005	51.5831
248	итгэл	NOUN	4	0.0004	51.5835
249	жаргал	NOUN	3	0.0003	51.5838
250	ирээдүй	NOUN	2	0.0002	51.584
